Type ,Indicator ,Context,Column1
Detection String (page) ,Document title template Github Download · <brand> · Github,Hardcoded title in the delivery page; enumerates distribution hosts via search-engine title pivot (Github Download · * · Github),
Detection String (page) ,Invalid access. Please return to the main page.,alert() string in the delivery page when the URL lacks a valid user_code/domain path,
Email (commit author) ,refija8987amira[@]gmail[.]com,Author email on Arctic-Wolf-Security/.github commits (UTC+1 offset),
GitHub Account ,Rednightmare8720 (ID 295189111; created 2026-06-19),Sole creator of Arctic-Wolf-Security org and .github repo,
"Hashes (SHA-1, BinDiff) ",E40197487A7F8D88F440EB77F73BACEF4F054DC8,BinDiff identifier for this campaign's stealer as analyzed against the BoryptGrab reference,
Hashes (SHA-256) ,1c854a6aa415f4be964e8a4be49c06e092156bf66d71f9c79995b3e6b156e778,Delivery archive Arctic-Wolf-6.86.5.zip (~136MB),
Hashes (SHA-256) ,6db05c4473760c44fa572ffac4c5911b35caf2467a37726c21c5f87e25cb2ea8,"Loader libcurl.dll (sample A, PE64, 9.50 MB,compiled 2026-06-2910:55:33 UTC)",
Hashes (SHA-256) ,fd01262bd56510088b9ddfe58ca101abb98575f3c0259b480a31b917aa73bc56,Loader libcurl.dll (sample B),
Hashes (SHA-256) ,07dcc12197490bf3292619273ba8b11a960273a34265bca3b7d6d40e8c47dc82,Decrypted in-memory implant (Dump_Implant_libcurl.dll.dmp),
Hashes (SHA-256) ,8e1ea6d9a8ccb303be9a2aad3524a529d0d99b1b24a136d8422276e942c4c4b8,Nested in-memory final stealer PE (at .rdata:0x1400930f0),
Hashes (SHA-256) ,e9a56961980031a45e578472836576da874512bff50ca3d491fc72e52f7cc7c2,GrabPure_Dump.bin cleaner process-memory extraction of the stealer (primary analysis source),
Hashes (SHA-256) ,52825dbf3fc28b9f7c3a24adf78d3425ac714e975769f4d70e8c718ddcbb9856,"Reference BoryptGrab sample (Trend Micro, March 2026); BinDiff SHA-1 CF04D732E78F79D8295D7A31669A23F687DE3D64; C2 45.93.20[.]61:5466",
Host Artifact ,"Staging folder under %TEMP%\XX_<geo>_<time>_GUID_<...>\ containing decrypt_browser\, \Filegraber\, \Wallet\, \Messenger\{Discord,Max,Telegram}\",On-disk staging directory left behind after execution (no cleanup routine); observed in Figure 8 and the execution log,
Host Artifact ,\Filegraber ,File-grabber staging directory (misspelled); in-memory path confirmed in .rdata,
Host Artifact ,"browser_decryption.log, sends.log, UserInformation.txt, credentials_data.txt, Discord_tokens.txt, browsers.txt, installed_applications.txt, screenshot.png, steam_accounts.txt","Stealer output and log artifacts written to the staging folder (browser_decryption.log and installed_applications.txt ~5 KB, screenshot.png ~179 KB, UserInformation.txt ~1KB in the observed run)",
Host Artifact ,\Messenger\Max\credentials.txt,Output path for Meta Max credential theft (ExtractMaxTokens),
Host Artifact ," === Program started === , === Send session ended ===, BUILD NAME:, CallCOMDecryptData, SendFileToServer, CreateZipArchive, GetElevationKey, ExtractAllCredentials, ExtractSteamData, ExtractMaxTokens, CopyTelegramData, ExtractDiscordTokens, KillBrowserProcesses, TakeScreenshot","Stealer log/function name strings (present in memory, scannable by EDR memory inspection)",
Host Artifact ,=== Version: 1.3 === ,"Implant self-reported build-version banner (0x14004028f), written to the header of browser_decryption.log ; also present in the controlled-run log.txt",
Host Artifact ,"a8i@iakikK, aVVVrv ","Obfuscated strings (likely encrypted config); build/family tags SedLums, gluck observed in a related sample",
Network Indicator ,193.143.1[.]131 ,"Hardcoded C2, POST /upload, HTTP (Proton66, AS198953, Russia)",
Network Indicator ,hxxps://targetroyena[.]com/<user_code>/<referrer>.github.io,"Templated fake-download page (gh-downloader); <user_code> is the referrer- tracking path token that rotates per referrer (e.g., /nwuoqtzmwv9q/, /yyvxx9rswefr/)",
Network Indicator ,URI /download-archive?user_code=<code>&domain=<referrer>.github.io,"Payload-generation endpoint on the distribution host; returns the branded, ~60s-rotating ZIP",
Network Indicator ,bentleyvazquezpvey.github[.]io/[.]github/Arctic-Wolf,*.github.io redirector for Arctic Wolf lure,
Network Indicator ,2.27.5[.]63,"Non-Cloudflare bulletproof servers sharing the ""GitHub Download"" page title",
Network Indicator ,77.91.96[.]188,"Non-Cloudflare bulletproof servers sharing the ""GitHub Download"" page title",
Network Indicator ,185.100.157[.]222,"Non-Cloudflare bulletproof servers sharing the ""GitHub Download"" page title",
Network Indicator ,193.221.201[.]165,"Non-Cloudflare bulletproof servers sharing the ""GitHub Download"" page title",
Network Indicator ,217.145.226[.]0,"Non-Cloudflare bulletproof servers sharing the ""GitHub Download"" page title",
Network Indicator ,217.145.227[.]254,"Non-Cloudflare bulletproof servers sharing the ""GitHub Download"" page title",
Sandbox ,tria[.]ge/260701-zvdkwagt9z/behavioral1,Detonation of the two active files,
Network Indicator ,hxxps://furiesniffer[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://fleecykobird[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://balafohoaxee[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://yontzarpzenu[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://eggcupmadras[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://lafferdingar[.]com,Actor-controlled distribution/TDS domains," ""))"
Network Indicator ,hxxps://palchknosp[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://brakerhotdog[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://sellietuskar[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://logic-prox[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://hamletlunoid[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://parnelmentha[.]com,Actor-controlled distribution/TDS domains,
Network Indicator ,hxxps://refonttaught[.]com,Actor-controlled distribution/TDS domains,
